E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	372.718
0.10625	27.74747412	361.6188
0.1125	26.9656978	351.4588
0.11875	26.24648291	342.1125
0.125	25.58190712	333.477
0.1375	24.3913914	318.0093
0.15	23.35297932	304.52
0.1625	22.43681679	292.6206
0.175	21.62065765	282.0219
0.1875	20.8875397	272.503
0.2	20.22427335	263.8928
0.21875	19.33810409	252.3909
0.2375	18.55906605	242.2822
0.25625	17.86717896	233.3063
0.275	17.24731826	225.2667
0.29375	16.68779618	218.0116
0.3125	16.17941868	211.4211
0.33125	15.71484062	205.4
0.35	15.28811364	199.8708
0.3875	14.52954689	190.0453
0.425	13.87373706	181.5549
0.4625	13.29940023	174.123
0.5	12.79095356	167.5468
0.53125	12.40904767	162.6095
0.5625	12.05942667	158.0914
0.59375	11.73778399	153.9365
0.625	11.44057666	150.0988
0.6875	10.90816185	143.2282
0.75	10.44376985	137.2401
0.8125	10.03404951	131.9613
0.875	9.669052043	127.2625
0.9375	9.341191729	123.0451
1	9.04457	119.2327
1.0625	8.774521753	115.7646
1.125	8.527302373	112.5922
1.1875	8.299866656	109.676
1.25	8.089709339	106.9835
1.375	7.713235213	102.1659
1.5	7.384860481	97.97058
1.625	7.09514445	94.27505
1.75	6.837052267	90.98814
1.875	6.605220016	88.04037
2	6.39547678	85.37773
2.1875	6.115245454	81.82725
2.375	5.868891996	78.71338
2.5625	5.650098086	75.95442
2.75	5.454080924	73.48852
2.9375	5.277144505	71.26792
3.125	5.116381424	69.25504
3.3125	4.969468943	67.41991
3.5	4.834526022	65.73825
3.875	4.594646155	62.75922
4.25	4.387260876	60.19574
4.625	4.205639624	57.96115
5	4.044854669	55.99208
5.3125	3.924085422	54.51931
5.625	3.813525554	53.17621
5.9375	3.71181321	51.94529
6.25	3.617828	50.81222
6.875	3.449463652	48.79378
7.5	3.302610008	47.04644
8.125	3.17304506	45.51631
8.75	3.057622727	44.1633
9.375	2.953944192	42.95689
10	2.860144166	41.8734
10.625	2.774747412	40.89413
11.25	2.69656978	40.0041
11.875	2.624648291	39.19115
12.5	2.558190712	38.4453
13.75	2.43913914	37.12312
15	2.335297932	35.98586
16.25	2.243681679	34.99623
17.5	2.162065765	34.12653
18.75	2.08875397	33.35572
20	2.022427335	32.66752
21.325	1.958589421	32.01396
22.65	1.900438505	31.42669
23.975	1.847177442	30.89597
25.3	1.798157231	30.41392
26.84375	1.745686814	29.90515
28.3875	1.697556941	29.44539
31.475	1.612148542	28.64694
34.5625	1.538456957	27.97732
37.65	1.474026984	27.40771
40.7375	1.417068152	26.91733
43.825	1.366239892	26.49082
46.9125	1.320515902	26.11653
50	1.279095356	25.78551
53.125	1.240904767	25.48735
56.25	1.205942667	25.22052
59.375	1.173778399	24.98039
62.5	1.144057666	24.76317
68.75	1.090816185	24.38562
75	1.044376985	24.06884
81.25	1.003404951	23.79935
87.5	0.966905204	23.56739
93.75	0.934119173	23.36567
100	0.904457	23.18867
106.25	0.877452175	23.03214
112.5	0.852730237	22.89272
118.75	0.829986666	22.76777
125	0.808970934	22.65515
137.5	0.771323521	22.46026
150	0.738486048	22.29749
162.5	0.709514445	22.1595
175	0.683705227	22.04102
187.5	0.660522002	21.93818
200	0.639547678	21.84806
218.75	0.611524545	21.73199
237.5	0.5868892	21.63405
256.25	0.565009809	21.55029
275	0.545408092	21.47782
293.75	0.52771445	21.41449
312.5	0.511638142	21.35866
331.25	0.496946894	21.30908
350	0.483452602	21.26473
387.5	0.459464615	21.18875
425	0.438726088	21.126
500	0.404485467	21.02833
625	0.3617828	20.91692
750	0.330261001	20.84208
875	0.305762273	20.78825
1000	0.286014417	20.74762
