E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	16.47724
0.10625	27.74747412	16.01709
0.1125	26.9656978	15.59669
0.11875	26.24648291	15.21072
0.125	25.58190712	14.85478
0.1375	24.3913914	14.21906
0.15	23.35297932	13.66677
0.16	22.611425	13.27378
0.175	21.62065765	12.75078
0.1875	20.8875397	12.36547
0.2	20.22427335	12.01823
0.21875	19.33810409	11.55654
0.2375	18.55906605	11.15301
0.25625	17.86717896	10.79668
0.275	17.24731826	10.47927
0.2975	16.58228745	10.14084
0.32	15.98869195	9.840797
0.35	15.28811364	9.489412
0.3875	14.52954689	9.112676
0.425	13.87373706	8.790493
0.4625	13.29940023	8.511339
0.5	12.79095356	8.266802
0.53125	12.40904767	8.08487
0.5625	12.05942667	7.919735
0.59375	11.73778399	7.76909
0.625	11.44057666	7.631045
0.64	11.3057125	7.568787
0.695	10.84914521	7.359901
0.75	10.44376985	7.17703
0.8125	10.03404951	6.994889
0.875	9.669052043	6.835087
0.9375	9.341191729	6.693666
1	9.04457	6.567563
1.0625	8.774521753	6.454373
1.125	8.527302373	6.352172
1.1875	8.299866656	6.259408
1.25	8.089709339	6.174811
1.28	7.994345975	6.13679
1.39	7.671504148	6.00984
1.5	7.384860481	5.89951
1.625	7.09514445	5.7904
1.75	6.837052267	5.695335
1.875	6.605220016	5.611731
2	6.39547678	5.537606
2.14	6.182740768	5.463938
2.28	5.98991281	5.398522
2.42	5.8140698	5.340022
2.56	5.65285625	5.287378
2.75	5.454080924	5.223795
2.9375	5.277144505	5.168454
3.125	5.116381424	5.119214
3.3125	4.969468943	5.075096
3.5	4.834526022	5.035322
3.875	4.594646155	4.966405
4.25	4.387260876	4.908688
4.625	4.205639624	4.859572
5	4.044854669	4.817213
5.12	3.997172987	4.804855
5.4025	3.891262569	4.777737
5.685	3.793348029	4.753075
6.25	3.617828	4.709851
6.875	3.449463652	4.66958
7.5	3.302610008	4.635404
8.125	3.17304506	4.605989
8.75	3.057622727	4.580366
9.375	2.953944192	4.557816
10	2.860144166	4.537796
10.625	2.774747412	4.519884
11.25	2.69656978	4.503748
11.875	2.624648291	4.489125
12.5	2.558190712	4.475802
13.75	2.43913914	4.452387
15	2.335297932	4.432437
16.25	2.243681679	4.4152
17.5	2.162065765	4.400131
18.75	2.08875397	4.386825
20	2.022427335	4.374971
21.325	1.958589421	4.363726
22.65	1.900438505	4.353623
23.975	1.847177442	4.344485
25.3	1.798157231	4.336172
27.22969	1.733271419	4.325311
29.15938	1.674938177	4.315686
31.08907	1.622124034	4.307085
33.01875	1.574010446	4.299345
34.94844	1.529938688	4.292336
36.87813	1.489373008	4.285954
40.7375	1.417068152	4.274745
43.05313	1.378432674	4.268844
45.36875	1.342794388	4.263456
50	1.279095356	4.253957
50.6	1.271489171	4.252835
52.0875	1.253202255	4.250145
53.575	1.235682324	4.247581
56.55	1.202739626	4.242796
62.5	1.144057666	4.234386
68.75	1.090816185	4.226882
75	1.044376985	4.220434
81.25	1.003404951	4.21482
87.5	0.966905204	4.209879
93.75	0.934119173	4.205489
100	0.904457	4.201556
106.25	0.877452175	4.198007
112.5	0.852730237	4.194785
118.75	0.829986666	4.191844
125	0.808970934	4.189147
137.5	0.771323521	4.184365
150	0.738486048	4.180241
162.5	0.709514445	4.176638
175	0.683705227	4.173462
187.5	0.660522002	4.170633
200	0.639547678	4.168093
218.75	0.611524545	4.164727
237.5	0.5868892	4.161793
256.25	0.565009809	4.159214
275	0.545408092	4.156924
293.75	0.52771445	4.154868
312.5	0.511638142	4.153008
331.25	0.496946894	4.151319
350	0.483452602	4.149779
387.5	0.459464615	4.147061
425	0.438726088	4.144728
500	0.404485467	4.140913
625	0.3617828	4.136238
750	0.330261001	4.132838
875	0.305762273	4.130223
1000	0.286014417	4.128132
