E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	15.58232
0.10625	27.74747412	15.13938
0.1125	26.9656978	14.7345
0.11875	26.24648291	14.36258
0.125	25.58190712	14.01943
0.13726	24.41270634	13.41704
0.1375	24.3913914	13.40607
0.1382813	24.32238717	13.37058
0.1390625	24.25397402	13.3354
0.140625	24.11885333	13.26593
0.14375	23.85525139	13.13048
0.15	23.35297932	12.87268
0.1625	22.43681679	12.40348
0.175	21.62065765	11.98674
0.1875	20.8875397	11.6135
0.2	20.22427335	11.27683
0.2134225	19.5779774	10.94978
0.226845	18.98992803	10.65313
0.2402675	18.45187099	10.38256
0.25369	17.95710202	10.13454
0.275	17.24731826	9.780161
0.2916975	16.74640426	9.531174
0.308395	16.28674363	9.303575
0.34179	15.47063886	8.901781
0.35	15.28811364	8.812355
0.36875	14.89436217	8.62003
0.3875	14.52954689	8.442599
0.425	13.87373706	8.125645
0.4625	13.29940023	7.850405
0.5	12.79095356	7.608778
0.53125	12.40904767	7.428672
0.5625	12.05942667	7.264924
0.56349	12.04882836	7.259978
0.5673344	12.00793603	7.240904
0.5711788	11.96745724	7.222039
0.5788675	11.8877138	7.184922
0.594245	11.73289425	7.113041
0.625	11.44057666	6.977996
0.673	11.02504554	6.787643
0.721	10.6517335	6.618381
0.75	10.44376985	6.524862
0.8125	10.03404951	6.34236
0.875	9.669052043	6.181881
0.9375	9.341191729	6.03957
1	9.04457	5.91244
1.059075	8.788698501	5.804104
1.11815	8.553382431	5.705628
1.2363	8.134408712	5.533253
1.25	8.089709339	5.515099
1.28125	7.990445342	5.474956
1.3125	7.894747934	5.436483
1.375	7.713235213	5.364143
1.3769	7.707911585	5.362034
1.384594	7.686465844	5.353547
1.392288	7.665198118	5.345141
1.407675	7.62318967	5.328574
1.43845	7.541201392	5.296376
1.5	7.384860481	5.23549
1.62405	7.097219325	5.125303
1.7481	6.840766835	5.029184
1.75	6.837052267	5.027808
1.753907	6.829432919	5.024985
1.757813	6.821840928	5.022174
1.765625	6.806732596	5.016586
1.78125	6.776812747	5.005542
1.8125	6.718137939	4.98397
1.875	6.605220016	4.94278
2	6.39547678	4.867444
2.192	6.108965175	4.767122
2.384	5.857803495	4.681785
2.567	5.645143549	4.611545
2.75	5.454080924	4.550093
2.9375	5.277144505	4.494641
3.125	5.116381424	4.445516
3.3125	4.969468943	4.401704
3.5	4.834526022	4.362397
3.875	4.594646155	4.294804
4.25	4.387260876	4.238793
4.625	4.205639624	4.191646
5	4.044854669	4.151427
5.3125	3.924085422	4.122173
5.625	3.813525554	4.09612
5.9375	3.71181321	4.072772
6.25	3.617828	4.051731
6.8618	3.452779914	4.016026
6.875	3.449463652	4.015325
6.914063	3.439705478	4.013266
6.953125	3.4300299	4.01123
7.03125	3.410920949	4.007225
7.1875	3.373642005	3.999474
7.5	3.302610008	3.984931
8.1184	3.17433459	3.959425
8.125	3.17304506	3.959174
8.144532	3.16923802	3.958432
8.164063	3.165444844	3.957694
8.203125	3.157899174	3.956228
8.28125	3.142968125	3.953337
8.4375	3.113730576	3.947715
8.75	3.057622727	3.937068
9.375	2.953944192	3.917887
10	2.860144166	3.901085
10.58975	2.779361713	3.887036
11.1795	2.705058952	3.874458
12.359	2.572742129	3.852876
12.5	2.558190712	3.850567
12.8125	2.52680068	3.845628
13.125	2.496538502	3.840922
13.75	2.43913914	3.832146
15	2.335297932	3.816771
16.25	2.243681679	3.803741
17.5	2.162065765	3.792557
18.75	2.08875397	3.782849
20	2.022427335	3.774344
21.325	1.958589421	3.766406
22.65	1.900438505	3.759387
22.679	1.899223056	3.759243
22.76091	1.895802596	3.758837
22.84282	1.89240055	3.758433
23.00663	1.885651454	3.757635
23.33425	1.872367099	3.756072
23.9895	1.846619112	3.753072
25.3	1.798157231	3.747533
26.70875	1.750093061	3.742178
28.1175	1.705687915	3.737354
30.935	1.626158465	3.729009
34.292	1.544512818	3.720834
37.649	1.47404656	3.7141
37.65	1.474026984	3.714098
37.65805	1.473869428	3.714083
37.6661	1.473711922	3.714069
37.68219	1.473397256	3.714039
37.71437	1.47276853	3.713981
37.77874	1.471513293	3.713863
37.90747	1.469012612	3.71363
38.16494	1.464049068	3.713168
38.67988	1.454271072	3.712263
39.70975	1.435288972	3.710522
41.7695	1.399452899	3.707294
45.889	1.335160967	3.701696
50	1.279095356	3.697015
53.125	1.240904767	3.693935
56.25	1.205942667	3.691191
59.375	1.173778399	3.688731
62.5	1.144057666	3.686513
68.75	1.090816185	3.682673
75	1.044376985	3.679461
81.25	1.003404951	3.676734
87.5	0.966905204	3.67439
93.75	0.934119173	3.672352
100	0.904457	3.670563
106.25	0.877452175	3.668981
112.5	0.852730237	3.66757
118.75	0.829986666	3.666305
125	0.808970934	3.665163
137.5	0.771323521	3.663184
150	0.738486048	3.661526
162.5	0.709514445	3.660118
175	0.683705227	3.658905
187.5	0.660522002	3.65785
200	0.639547678	3.656923
213.1994	0.619433851	3.656059
226.3987	0.601105857	3.655292
239.598	0.584314051	3.654608
252.7973	0.568855169	3.653993
275	0.545408092	3.653087
290.1928	0.530938976	3.652544
305.3856	0.517563507	3.652053
335.7711	0.493589904	3.651201
350	0.483452602	3.650851
387.5	0.459464615	3.650046
425	0.438726088	3.649379
500	0.404485467	3.648333
625	0.3617828	3.647126
750	0.330261001	3.646306
875	0.305762273	3.645709
1000	0.286014417	3.645254
