E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	21.49142
0.10625	27.74747412	20.87224
0.1125	26.9656978	20.30601
0.11875	26.24648291	19.78566
0.125	25.58190712	19.30535
0.1375	24.3913914	18.44629
0.15	23.35297932	17.69858
0.16	22.611425	17.16565
0.175	21.62065765	16.4551
0.1875	20.8875397	15.93056
0.2	20.22427335	15.45698
0.21875	19.33810409	14.82587
0.2375	18.55906605	14.27278
0.25625	17.86717896	13.78308
0.275	17.24731826	13.34569
0.2975	16.58228745	12.878
0.32	15.98869195	12.46204
0.35	15.28811364	11.97316
0.3875	14.52954689	11.4466
0.425	13.87373706	10.99402
0.4625	13.29940023	10.59994
0.5	12.79095356	10.25305
0.53125	12.40904767	9.993821
0.5625	12.05942667	9.757602
0.59375	11.73778399	9.541275
0.625	11.44057666	9.34228
0.64	11.3057125	9.252281
0.6875	10.90816185	8.988137
0.7461161	10.47091704	8.699746
0.75	10.44376985	8.681918
0.763199	10.35306708	8.622424
0.776398	10.26468722	8.564556
0.802796	10.0945119	8.453427
0.875	9.669052043	8.177377
0.9209316	9.424845437	8.020155
1	9.04457	7.777253
1.0625	8.774521753	7.606278
1.125	8.527302373	7.450939
1.1875	8.299866656	7.309087
1.25	8.089709339	7.178957
1.375	7.713235213	6.948258
1.5	7.384860481	6.749742
1.625	7.09514445	6.57685
1.75	6.837052267	6.424724
1.875	6.605220016	6.289683
2	6.39547678	6.168884
2.1875	6.115245454	6.009624
2.375	5.868891996	5.871731
2.5625	5.650098086	5.750998
2.75	5.454080924	5.644268
2.9375	5.277144505	5.549128
3.125	5.116381424	5.463697
3.3125	4.969468943	5.386486
3.5	4.834526022	5.316301
3.75	4.670595864	5.231998
4	4.522285	5.156646
4.25	4.387260876	5.08881
4.625	4.205639624	4.998721
5	4.044854669	4.920077
5.3125	3.924085422	4.861692
5.625	3.813525554	4.808755
5.9375	3.71181321	4.760487
6.25	3.617828	4.71625
6.875	3.449463652	4.637869
7.5	3.302610008	4.570396
8	3.19773839	4.52271
8.75	3.057622727	4.459629
9.375	2.953944192	4.413404
10	2.860144166	4.371905
10.625	2.774747412	4.33438
11.25	2.69656978	4.300235
11.875	2.624648291	4.268991
12.5	2.558190712	4.240261
13.75	2.43913914	4.189115
15	2.335297932	4.144829
16.25	2.243681679	4.106003
17.5	2.162065765	4.071613
18.35728	2.110978248	4.050187
20	2.022427335	4.013244
21.58262	1.94686502	3.981944
23.16523	1.879185341	3.954111
25.3	1.798157231	3.921076
27.1375	1.73621301	3.896056
28.975	1.68025889	3.873642
30.8125	1.629387784	3.853421
32.65	1.582873949	3.835058
34.4875	1.54012889	3.818282
36.325	1.500669697	3.802872
40	1.430072083	3.775452
42.5	1.387373706	3.758937
45	1.34828489	3.743845
47.5	1.312324145	3.729968
50	1.279095356	3.717139
53.125	1.240904767	3.702371
56.25	1.205942667	3.688811
59.375	1.173778399	3.676287
62.5	1.144057666	3.664661
68.75	1.090816185	3.643668
75	1.044376985	3.625149
80	1.011213667	3.611798
87.5	0.966905204	3.593813
91.97266	0.94310175	3.584103
100	0.904457	3.568308
106.25	0.877452175	3.557263
112.5	0.852730237	3.547137
118.75	0.829986666	3.537786
125	0.808970934	3.529086
137.5	0.771323521	3.51326
150	0.738486048	3.499103
162.5	0.709514445	3.486299
175	0.683705227	3.474712
183.5728	0.667549935	3.467465
200	0.639547678	3.455198
218.75	0.611524545	3.443574
237.5	0.5868892	3.433774
256.25	0.565009809	3.425121
275	0.545408092	3.41726
293.75	0.52771445	3.410016
312.5	0.511638142	3.403292
331.25	0.496946894	3.397021
350	0.483452602	3.391142
375	0.467059586	3.383816
400	0.4522285	3.376987
425	0.438726088	3.370589
462.5	0.420563962	3.361678
500	0.404485467	3.35349
545.2539	0.387336598	3.34444
625	0.3617828	3.330076
687.5	0.344946365	3.31986
737.3205	0.333088601	3.312189
750	0.330261001	3.310293
795.6869	0.320639351	3.303645
875	0.305762273	3.292699
