E [meV]	wvl [A]	CS [barns]
0.1052353	27.88092657	1111.00148
0.1160784	26.54680243	1057.84481
0.1280388	25.276511	1007.23237
0.1412315	24.06701	959.042005
0.1557836	22.91537963	913.157671
0.1718351	21.81885642	869.46942
0.1895404	20.77480844	827.871896
0.2090701	19.78071387	788.265842
0.230612	18.83419112	750.55461
0.2543736	17.93295696	714.648564
0.2805835	17.07484855	680.461128
0.3094939	16.25780377	647.910918
0.3116776	16.20075032	645.786876
0.3413832	15.4798537	616.918538
0.3437919	15.42553034	614.896231
0.3461995	15.37179932	612.874928
0.3765583	14.73912873	587.409593
0.3818709	14.63624403	583.559569
0.3845651	14.58488436	581.607231
0.4153577	14.03384874	559.312944
0.4241895	13.88698503	553.788654
0.4271603	13.8386104	551.930522
0.4581549	13.36231657	532.561137
0.4711736	13.17642062	525.5325
0.4744978	13.13018432	523.737907
0.5053618	12.72291773	507.089902
0.5233886	12.5018935	498.689529
0.5270542	12.45834304	496.981475
0.5574328	12.11411423	482.837888
0.5813603	11.86219991	473.213944
0.5854618	11.82057608	471.564363
0.6148689	11.53444389	459.746933
0.6457859	11.25495195	449.013721
0.650309	11.21574282	447.443567
0.6782232	10.9825099	437.76133
0.7173148	10.67906005	426.047793
0.7223753	10.64158897	424.531535
0.7481052	10.45698747	416.828409
0.7968066	10.13237986	404.232773
0.8023875	10.09708116	402.789476
0.8251877	9.956611266	396.897733
0.885063	9.613927253	383.531789
0.8913069	9.580193698	382.138056
0.9102125	9.480178761	377.921361
0.9831444	9.121773189	363.869323
0.9900305	9.089994851	362.542616
1.003998	9.026543938	359.853662
1.09204	8.655031467	345.21232
1.099744	8.624662786	343.931224
1.107447	8.594615431	342.651276
1.213058	8.211965973	327.49229
1.221555	8.183355374	326.272763
1.34742	7.791775476	310.679609
1.356926	7.764434708	309.662269
1.486254	7.418932267	295.833725
1.496739	7.392900937	294.865252
1.517855	7.341296784	292.914837
1.639393	7.063929987	281.698795
1.662522	7.014621206	279.854958
1.697871	6.941216317	277.037087
1.808311	6.72591481	268.240922
1.859695	6.632344289	264.705591
1.899236	6.562940357	261.985258
1.994634	6.404073615	255.427625
2.080253	6.270899575	250.34375
2.124484	6.205277272	247.717507
2.200155	6.097633051	243.228171
2.326969	5.929152565	236.729549
2.376445	5.867107431	234.194263
2.426853	5.805855049	231.61333
2.602944	5.606031219	223.825577
2.676908	5.528040314	220.554648
2.91165	5.300518321	211.595365
2.952729	5.263518208	210.027629
3.015509	5.208439332	207.957982
3.256969	5.011654367	200.004974
3.279944	4.994070971	199.3513
3.396773	4.907436197	196.027612
3.592557	4.771842387	190.462603
3.694641	4.70545692	187.956364
3.853232	4.607606106	184.062987
3.962723	4.543505588	181.377293
4.161975	4.433413003	177.155976
4.37103	4.326094786	172.727191
4.721262	4.162544347	166.324236
4.821407	4.119087592	164.493492
4.95841	4.0617829	162.330227
5.318191	3.921985276	156.654364
5.355706	3.908225014	156.143169
5.6644	3.800239496	151.937275
5.866161	3.73431488	149.190695
6.117963	3.656659328	146.230257
6.470592	3.555624713	142.084576
6.516237	3.543149591	141.621093
6.989053	3.421202316	136.824662
7.137302	3.385484951	135.320845
7.548684	3.29194296	131.716799
7.872708	3.223486476	128.880613
8.040096	3.189754855	127.615284
8.683888	3.069239774	122.749073
8.806402	3.047815484	121.949276
9.313988	2.96360342	118.638784
9.578649	2.922373995	116.912791
10.34614	2.81189273	112.590172
10.5656	2.78253632	111.355194
10.86583	2.743825395	109.896279
11.65425	2.649389186	106.065256
12.24024	2.585192919	103.606311
12.76565	2.531433119	101.403516
12.85507	2.522613418	101.028606
14.17962	2.401903905	96.2335258
14.6854	2.360179502	94.6523386
15.20849	2.319235639	93.0185083
15.64064	2.286971036	91.6687242
17.25221	2.177537066	87.3224496
17.86759	2.139710092	85.889294
18.37531	2.109942339	84.7079278
19.02982	2.073340275	83.185055
20.99059	1.974129332	79.2458027
22.20046	1.919583188	77.1469371
22.51367	1.906183809	76.6039597
23.1534	1.879665356	75.4949618
25.24188	1.800226189	72.341162
25.3	1.798157231	72.2590311
27.90683	1.71211397	68.8445828
30.78227	1.630187665	65.592683
32.10358	1.59628779	64.3024132
32.78617	1.579583473	63.6358984
33.95398	1.552181776	62.4965664
37.4525	1.477908401	59.5496728
41.31149	1.407189205	56.7431498
41.89432	1.397366577	56.3771593
44.00082	1.363507526	55.0544632
45.5681	1.339853959	54.0711851
50.26329	1.275740868	51.5280473
55.44227	1.2146955	49.1061484
57.01769	1.197796708	48.4700599
61.15487	1.156571272	46.7997314
62.01766	1.148497982	46.4989714
67.45608	1.101228327	44.6049182
74.40655	1.048533572	42.5151076
81.50228	1.001850791	40.6732004
82.07318	0.998360279	40.5250172
90.52975	0.95058786	38.6299723
93.10219	0.937363365	38.1322969
99.85766	0.90510139	36.8265312
110.1467	0.861791446	35.1098618
121.4959	0.820553898	33.4754734
126.711	0.803490535	32.8272628
134.0144	0.781289866	31.9195581
147.8229	0.743904294	30.4383508
154.1681	0.728434764	29.8508239
163.0541	0.708307862	29.0287491
179.8547	0.674414701	27.6869451
198.3864	0.64214333	26.4088546
218.8275	0.611416247	25.1913142
221.9147	0.607148447	25.0325149
241.3748	0.582159462	24.0316156
266.2453	0.554302643	22.9271257
293.6784	0.527778776	21.8753174
306.2844	0.516803547	21.4579694
323.9382	0.502524039	20.873876
357.3158	0.478477824	19.920559
394.1325	0.455582255	19.0129498
396.9127	0.453983874	18.9537958
434.7427	0.433782248	18.1491659
479.5372	0.413025412	17.3267259
482.92	0.411576271	17.2730926
528.9473	0.393261763	16.5433792
583.4484	0.374443846	15.7974868
643.5652	0.356526362	15.0878882
709.8762	0.339466261	14.4123539
783.0196	0.323222517	13.7685249
863.6996	0.307756026	13.1558492
952.6926	0.293029624	12.5729025
