E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	25.10532
0.10625	27.74747412	24.37895
0.1125	26.9656978	23.71463
0.11875	26.24648291	23.10405
0.125	25.58190712	22.54041
0.1375	24.3913914	21.53214
0.15	23.35297932	20.65438
0.1625	22.43681679	19.88144
0.175	21.62065765	19.19419
0.1875	20.8875397	18.57805
0.2	20.22427335	18.02167
0.21875	19.33810409	17.28007
0.2375	18.55906605	16.62999
0.25625	17.86717896	16.05427
0.275	17.24731826	15.53995
0.29375	16.68779618	15.077
0.3125	16.17941868	14.65756
0.33125	15.71484062	14.27534
0.35	15.28811364	13.92524
0.3875	14.52954689	13.30548
0.425	13.87373706	12.77265
0.4625	13.29940023	12.30861
0.5	12.79095356	11.90007
0.53125	12.40904767	11.59475
0.5625	12.05942667	11.31653
0.59375	11.73778399	11.06173
0.625	11.44057666	10.82735
0.6875	10.90816185	10.41028
0.75	10.44376985	10.04975
0.8125	10.03404951	9.734473
0.875	9.669052043	9.456079
0.9375	9.341191729	9.208188
1	9.04457	8.985854
1.0625	8.774521753	8.785174
1.125	8.527302373	8.60302
1.1875	8.299866656	8.436855
1.25	8.089709339	8.284599
1.375	7.713235213	8.015183
1.5	7.384860481	7.784014
1.625	7.09514445	7.583327
1.75	6.837052267	7.407361
1.875	6.605220016	7.25175
2	6.39547678	7.113113
2.1875	6.115245454	6.931316
2.375	5.868891996	6.774997
2.5625	5.650098086	6.639134
2.75	5.454080924	6.519955
2.9375	5.277144505	6.41457
3.125	5.116381424	6.320721
3.3125	4.969468943	6.236623
3.5	4.834526022	6.160842
3.875	4.594646155	6.029775
4.25	4.387260876	5.920436
4.625	4.205639624	5.827886
5	4.044854669	5.748573
5.3125	3.924085422	5.690681
5.625	3.813525554	5.638985
5.9375	3.71181321	5.592554
6.25	3.617828	5.550632
6.875	3.449463652	5.477943
7.5	3.302610008	5.41713
8.125	3.17304506	5.365526
8.75	3.057622727	5.3212
9.375	2.953944192	5.282725
10	2.860144166	5.24902
10.625	2.774747412	5.219255
11.25	2.69656978	5.192778
11.875	2.624648291	5.169076
12.5	2.558190712	5.147735
13.75	2.43913914	5.110854
15	2.335297932	5.080103
16.25	2.243681679	5.054073
17.5	2.162065765	5.031753
18.75	2.08875397	5.012403
20	2.022427335	4.995467
21.325	1.958589421	4.979678
22.65	1.900438505	4.965732
23.975	1.847177442	4.953325
25.3	1.798157231	4.942214
26.84375	1.745686814	4.930649
28.3875	1.697556941	4.920338
31.475	1.612148542	4.902744
34.5625	1.538456957	4.888285
37.65	1.474026984	4.876191
40.7375	1.417068152	4.865925
43.825	1.366239892	4.857101
46.9125	1.320515902	4.849435
50	1.279095356	4.842712
53.125	1.240904767	4.836701
56.25	1.205942667	4.831355
59.375	1.173778399	4.82657
62.5	1.144057666	4.822262
68.75	1.090816185	4.814815
75	1.044376985	4.808606
81.25	1.003404951	4.803347
87.5	0.966905204	4.798837
93.75	0.934119173	4.794926
100	0.904457	4.791502
106.25	0.877452175	4.788479
112.5	0.852730237	4.785791
118.75	0.829986666	4.783385
125	0.808970934	4.781218
137.5	0.771323521	4.777473
150	0.738486048	4.77435
162.5	0.709514445	4.771704
175	0.683705227	4.769434
187.5	0.660522002	4.767465
200	0.639547678	4.765741
218.75	0.611524545	4.763522
237.5	0.5868892	4.761651
256.25	0.565009809	4.760052
275	0.545408092	4.75867
293.75	0.52771445	4.757462
312.5	0.511638142	4.756399
331.25	0.496946894	4.755455
350	0.483452602	4.754611
387.5	0.459464615	4.753167
425	0.438726088	4.751975
500	0.404485467	4.750124
625	0.3617828	4.748017
750	0.330261001	4.746605
875	0.305762273	4.745593
1000	0.286014417	4.74483
