E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	14931.27
0.10625	27.74747412	14485.46
0.1125	26.9656978	14077.34
0.11875	26.24648291	13701.88
0.125	25.58190712	13354.94
0.1375	24.3913914	12733.44
0.15	23.35297932	12191.34
0.1625	22.43681679	11713.07
0.175	21.62065765	11287
0.1875	20.8875397	10904.28
0.2	20.22427335	10558.03
0.21875	19.33810409	10095.41
0.2375	18.55906605	9688.717
0.25625	17.86717896	9327.523
0.275	17.24731826	9003.93
0.29375	16.68779618	8711.837
0.3125	16.17941868	8446.443
0.33125	15.71484062	8203.915
0.35	15.28811364	7981.146
0.3875	14.52954689	7585.143
0.425	13.87373706	7242.784
0.4625	13.29940023	6942.958
0.5	12.79095356	6677.529
0.53125	12.40904767	6478.159
0.5625	12.05942667	6295.644
0.59375	11.73778399	6127.735
0.625	11.44057666	5972.582
0.6875	10.90816185	5694.641
0.75	10.44376985	5452.212
0.8125	10.03404951	5238.324
0.875	9.669052043	5047.782
0.9375	9.341191729	4876.628
1	9.04457	4721.782
1.0625	8.774521753	4580.808
1.125	8.527302373	4451.751
1.1875	8.299866656	4333.023
1.25	8.089709339	4223.314
1.375	7.713235213	4026.784
1.5	7.384860481	3855.363
1.625	7.09514445	3704.123
1.75	6.837052267	3569.393
1.875	6.605220016	3448.371
2	6.39547678	3338.88
2.1875	6.115245454	3192.593
2.375	5.868891996	3063.992
2.5625	5.650098086	2949.777
2.75	5.454080924	2847.453
2.9375	5.277144505	2755.09
3.125	5.116381424	2671.17
3.3125	4.969468943	2594.48
3.5	4.834526022	2524.038
3.875	4.594646155	2398.819
4.25	4.387260876	2290.564
4.625	4.205639624	2195.757
5	4.044854669	2111.828
5.3125	3.924085422	2048.787
5.625	3.813525554	1991.076
5.9375	3.71181321	1937.983
6.25	3.617828	1888.924
6.875	3.449463652	1801.04
7.5	3.302610008	1724.386
8.125	3.17304506	1656.756
8.75	3.057622727	1596.509
9.375	2.953944192	1542.392
10	2.860144166	1493.432
10.625	2.774747412	1448.859
11.25	2.69656978	1408.053
11.875	2.624648291	1370.514
12.5	2.558190712	1335.827
13.75	2.43913914	1273.688
15	2.335297932	1219.49
16.25	2.243681679	1171.672
17.5	2.162065765	1129.075
18.75	2.08875397	1090.811
20	2.022427335	1056.194
21.325	1.958589421	1022.875
22.65	1.900438505	992.5253
23.975	1.847177442	964.7272
25.3	1.798157231	939.1426
26.84375	1.745686814	911.7571
28.3875	1.697556941	886.6369
31.475	1.612148542	842.0599
34.5625	1.538456957	803.598
37.65	1.474026984	769.9698
40.7375	1.417068152	740.2411
43.825	1.366239892	713.7121
46.9125	1.320515902	689.8474
50	1.279095356	668.2288
53.125	1.240904767	648.2962
56.25	1.205942667	630.0486
59.375	1.173778399	613.2613
62.5	1.144057666	597.7492
68.75	1.090816185	569.9609
75	1.044376985	545.7227
81.25	1.003404951	524.3381
87.5	0.966905204	505.2882
93.75	0.934119173	488.1773
100	0.904457	472.6978
106.25	0.877452175	458.606
112.5	0.852730237	445.7063
118.75	0.829986666	433.8393
125	0.808970934	422.8741
137.5	0.771323521	403.2308
150	0.738486048	386.0958
162.5	0.709514445	370.9767
175	0.683705227	357.5071
187.5	0.660522002	345.4073
200	0.639547678	334.4599
218.75	0.611524545	319.832
237.5	0.5868892	306.9707
256.25	0.565009809	295.5477
275	0.545408092	285.3154
293.75	0.52771445	276.0825
312.5	0.511638142	267.6975
331.25	0.496946894	260.0381
350	0.483452602	253.0043
387.5	0.459464615	240.4991
425	0.438726088	229.6844
500	0.404485467	211.835
625	0.3617828	189.5422
750	0.330261001	173.0656
875	0.305762273	160.318
1000	0.286014417	150.0349
