E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	7.383964
0.10625	27.74747412	7.167144
0.1125	26.9656978	6.968758
0.11875	26.24648291	6.786339
0.125	25.58190712	6.617864
0.1375	24.3913914	6.316288
0.15	23.35297932	6.053511
0.16	22.611425	5.866028
0.175	21.62065765	5.615792
0.1875	20.8875397	5.430839
0.2	20.22427335	5.263677
0.21875	19.33810409	5.04062
0.2375	18.55906605	4.844826
0.25625	17.86717896	4.671201
0.275	17.24731826	4.515886
0.2975	16.58228745	4.349529
0.32	15.98869195	4.201312
0.35	15.28811364	4.026748
0.3875	14.52954689	3.838243
0.425	13.87373706	3.675763
0.4625	13.29940023	3.533894
0.5	12.79095356	3.408674
0.53125	12.40904767	3.314876
0.5625	12.05942667	3.229219
0.59375	11.73778399	3.15061
0.625	11.44057666	3.078152
0.64	11.3057125	3.045333
0.695	10.84914521	2.934526
0.75	10.44376985	2.836564
0.8125	10.03404951	2.738002
0.875	9.669052043	2.650622
0.9375	9.341191729	2.572508
1	9.04457	2.502174
1.0625	8.774521753	2.438445
1.125	8.527302373	2.380378
1.1875	8.299866656	2.327209
1.25	8.089709339	2.278308
1.28	7.994345975	2.256196
1.39	7.671504148	2.181716
1.5	7.384860481	2.116121
1.625	7.09514445	2.050388
1.75	6.837052267	1.992355
1.875	6.605220016	1.94069
2	6.39547678	1.89436
2.14	6.182740768	1.8478
2.28	5.98991281	1.806004
2.42	5.8140698	1.768252
2.56	5.65285625	1.733966
2.75	5.454080924	1.692151
2.9375	5.277144505	1.655389
3.125	5.116381424	1.62239
3.3125	4.969468943	1.592591
3.5	4.834526022	1.565538
3.875	4.594646155	1.51826
4.25	4.387260876	1.478291
4.625	4.205639624	1.444039
5	4.044854669	1.414347
5.12	3.997172987	1.405661
5.4025	3.891262569	1.386574
5.685	3.793348029	1.369187
6.25	3.617828	1.338676
6.875	3.449463652	1.310246
7.5	3.302610008	1.286159
8.125	3.17304506	1.265487
8.75	3.057622727	1.247549
9.375	2.953944192	1.231835
10	2.860144166	1.217953
10.625	2.774747412	1.205598
11.25	2.69656978	1.194531
11.875	2.624648291	1.184558
12.5	2.558190712	1.175523
13.75	2.43913914	1.159779
15	2.335297932	1.146518
16.25	2.243681679	1.135188
17.5	2.162065765	1.12539
18.75	2.08875397	1.116829
20	2.022427335	1.10928
21.325	1.958589421	1.102191
22.65	1.900438505	1.095886
23.975	1.847177442	1.090237
25.3	1.798157231	1.085147
27.22969	1.733271419	1.078567
29.15938	1.674938177	1.072807
31.08907	1.622124034	1.067718
33.01875	1.574010446	1.063187
34.94844	1.529938688	1.059124
36.87813	1.489373008	1.055458
40.7375	1.417068152	1.049101
43.05313	1.378432674	1.045796
45.36875	1.342794388	1.042806
50	1.279095356	1.037597
50.6	1.271489171	1.036987
52.0875	1.253202255	1.03553
53.575	1.235682324	1.034149
56.55	1.202739626	1.031587
62.5	1.144057666	1.027142
68.75	1.090816185	1.023244
75	1.044376985	1.01995
81.25	1.003404951	1.017129
87.5	0.966905204	1.014687
93.75	0.934119173	1.012551
100	0.904457	1.010669
106.25	0.877452175	1.008998
112.5	0.852730237	1.007505
118.75	0.829986666	1.006164
125	0.808970934	1.004951
137.5	0.771323521	1.002847
150	0.738486048	1.001084
162.5	0.709514445	0.9995849
175	0.683705227	0.9982963
187.5	0.660522002	0.9971778
200	0.639547678	0.9961992
218.75	0.611524545	0.9949442
237.5	0.5868892	0.9938941
256.25	0.565009809	0.9930067
275	0.545408092	0.992251
293.75	0.52771445	0.9916033
312.5	0.511638142	0.9910456
331.25	0.496946894	0.9905635
350	0.483452602	0.990146
375	0.467059586	0.9896739
400	0.4522285	0.9892833
425	0.438726088	0.9889606
500	0.404485467	0.9883068
625	0.3617828	0.9879122
750	0.330261001	0.9880344
800	0.319773839	0.9881762
875	0.305762273	0.9884424
1000	0.286014417	0.9887625
