E [meV]	wvl [A]	CS [barns]
0.1	28.60144166	17.45759
0.10625	27.74747412	16.95773
0.1125	26.9656978	16.50072
0.11875	26.24648291	16.08081
0.125	25.58190712	15.69331
0.1375	24.3913914	15.00045
0.15	23.35297932	14.39765
0.1625	22.43681679	13.86718
0.175	21.62065765	13.3958
0.1875	20.8875397	12.97346
0.2	20.22427335	12.59233
0.21875	19.33810409	12.08471
0.2375	18.55906605	11.64013
0.25625	17.86717896	11.24677
0.275	17.24731826	10.89569
0.29375	16.68779618	10.57996
0.3125	16.17941868	10.29416
0.33125	15.71484062	10.03395
0.35	15.28811364	9.795829
0.375	14.76972096	9.507792
0.4	14.30072083	9.248474
0.425	13.87373706	9.013538
0.4625	13.29940023	8.699425
0.5	12.79095356	8.423358
0.53125	12.40904767	8.217367
0.5625	12.05942667	8.029912
0.59375	11.73778399	7.85848
0.625	11.44057666	7.701004
0.6875	10.90816185	7.421343
0.75	10.44376985	7.180233
0.8	10.11213667	7.009834
0.875	9.669052043	6.784726
0.9375	9.341191729	6.620218
1	9.04457	6.473033
1.0625	8.774521753	6.340502
1.125	8.527302373	6.220489
1.1875	8.299866656	6.111266
1.25	8.089709339	6.011411
1.375	7.713235213	5.835294
1.5	7.384860481	5.684821
1.625	7.09514445	5.554722
1.75	6.837052267	5.441094
1.875	6.605220016	5.340986
2	6.39547678	5.252117
2.1875	6.115245454	5.136071
2.375	5.868891996	5.036767
2.5625	5.650098086	4.950845
2.75	5.454080924	4.87579
2.9375	5.277144505	4.809679
3.125	5.116381424	4.75102
3.3125	4.969468943	4.698633
3.5	4.834526022	4.651576
3.75	4.670595864	4.595822
4	4.522285	4.546758
4.25	4.387260876	4.503262
4.625	4.205639624	4.44657
5	4.044854669	4.398169
5.3125	3.924085422	4.362944
5.625	3.813525554	4.331564
5.9375	3.71181321	4.303437
6.25	3.617828	4.278087
6.875	3.449463652	4.234233
7.5	3.302610008	4.197633
8	3.19773839	4.172448
8.75	3.057622727	4.140046
9.375	2.953944192	4.116994
10	2.860144166	4.096818
10.625	2.774747412	4.079013
11.25	2.69656978	4.063184
11.875	2.624648291	4.049019
12.5	2.558190712	4.036271
13.75	2.43913914	4.014249
15	2.335297932	3.995897
16.25	2.243681679	3.980367
17.5	2.162065765	3.967056
18.75	2.08875397	3.955519
20	2.022427335	3.945424
21.325	1.958589421	3.936016
22.65	1.900438505	3.927708
23.975	1.847177442	3.920318
25.3	1.798157231	3.913702
27.22969	1.733271419	3.905218
29.15938	1.674938177	3.897857
31.08907	1.622124034	3.891409
33.01875	1.574010446	3.885715
34.94844	1.529938688	3.88065
36.87813	1.489373008	3.876115
40.7375	1.417068152	3.868333
43.05313	1.378432674	3.864333
45.36875	1.342794388	3.860742
50	1.279095356	3.854557
50.6	1.271489171	3.853838
52.0875	1.253202255	3.852128
53.575	1.235682324	3.850513
56.55	1.202739626	3.847538
62.5	1.144057666	3.842437
68.75	1.090816185	3.83803
75	1.044376985	3.834357
81.25	1.003404951	3.831249
87.5	0.966905204	3.828585
93.75	0.934119173	3.826276
100	0.904457	3.824255
106.25	0.877452175	3.822472
112.5	0.852730237	3.820888
118.75	0.829986666	3.81947
125	0.808970934	3.818193
137.5	0.771323521	3.815988
150	0.738486048	3.814151
162.5	0.709514445	3.812596
175	0.683705227	3.811263
187.5	0.660522002	3.810108
200	0.639547678	3.809097
218.75	0.611524545	3.807798
237.5	0.5868892	3.806703
256.25	0.565009809	3.805769
275	0.545408092	3.804961
293.75	0.52771445	3.804257
312.5	0.511638142	3.803637
331.25	0.496946894	3.803087
350	0.483452602	3.802596
375	0.467059586	3.802018
400	0.4522285	3.801512
425	0.438726088	3.801066
500	0.404485467	3.799995
625	0.3617828	3.79878
750	0.330261001	3.797969
800	0.319773839	3.797716
875	0.305762273	3.79739
1000	0.286014417	3.796956
